value, name
"HOSE:AAA",AAA
"UPCOM:ABB",ABB
"HOSE:ACB",ACB
"HOSE:AMD",AMD
"HNX:ART",ART
"HNX:BLF",BLF
"UPCOM:BSR",BSR
"HNX:DST",DST
"UPCOM:DPS",DPS
"HOSE:FPT",FPT
"HOSE:HAI",HAI
"HOSE:HPG",HPG
"HNX:ITQ",ITQ
"UPCOM:KAC",KAC
"HNX:KLF",KLF
"HNX:KSQ",KSQ
"HOSE:TCB",TCB
"HOSE:TCH",TCH
"HOSE:TTB",TTB
"UPCOM:TS4",TS4
"HOSE:MHC",MHC
"HNX:NBC",NBC
"HOSE:NKG",NKG  
"HOSE:ROS",ROS
"UPCOM:S12",S12
"UPCOM:SBS",SBS
"UPCOM:STL",STL
"UPCOM:PLO",PLO
"UPCOM:PNT",PNT
"HOSE:PVD",PVD
"HOSE:PVT",PVT
"UPCOM:PVR",PVR
"HOSE:QBS",QBS
"HNX:VE1",VE1
"UPCOM:VHG",VHG
"UPCOM:VPC",VPC
"HNX:SHS",SHS
"HNX:PVS",PVS
"HNX:SD6",SD6
"HNX:MHL",MHL
